id,itjuzi_id,name,position,weibo,brief,address,company,school,intustry
16,1387,周宏光,龙翌资本 创始合伙人,,周宏光，龙翌资本合伙人、天使投资人，海豚天使会成员。周宏光先生拥有多年的家族企业创业经验和TMT行业创业经验。目前所投资的项目主要集中在：互联网、企业信息化、云计算、电子商务、教育培训、物联网等领域。人脉广泛，与众多的创业家、风险投资、天使投资基金有紧密的联系；周先生擅长企业创业早期的首次股东团队组建、理性结构设计和流动性结构设计。,"北京,朝阳区",,,"互联网 , 移动互联网 , 医疗健康 , 制造业 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 工具软件 , 企业服务"
17,1388,吴卫勇,箭速资本 合伙人,http://weibo.com/u/2243269300,吴卫勇，箭速资本合伙人。南京工业大学，管理学硕士，律师；注册咨询工程师（投资）；注册税务师。曾担任枫惠创投投资总监，国信证券项目律师、电商公司格绿电子创始人。曾投资东创科技（430488）并主导过多家公司的股权激励、股改和挂牌工作。,"浙江,杭州",,南京工业大学,"互联网 , 移动互联网 , 本地生活 , 电子商务"
18,1342,杨涛,信天创投 高级投资经理,,"杨涛，信天创投高级投资经理。1983年出生，毕业于西南政法大学，曾就职于腾讯、高德，任产品经理一职，做为主要负责人服务过多个行业的不同产品线，在产品战略规划、用户体验设计和商业变现模式等方面有丰富经验和积累。另外，早年在上海文新集团担任过记者/编辑，对新媒体、内容社区、传播理论亦有一定研究。

现转身投入创业投资行业，希望能在产品经验、行业资源等方面帮助创业者实现梦想。

业余时间是个智能设备迷（图新鲜，爱倒腾，高买低出，二手市场之友），摄影器材党（理论大师，几乎不拍摄）","北京,朝阳区","腾讯 , 高德",西南政法大学,"互联网 , 移动互联网 , 本地生活 , 文化娱乐体育"
19,1344,张小宇,信天创投 运营总监,,张小宇，信天创投运营总监。1983年出生，毕业于大连交通大学，计算机学士学位。曾任职于酷6网、腾讯负责媒体产品工作，在互联网媒体产品方面有深厚的经验。对互联网流量变现有深入的研究。,"北京,朝阳区",腾讯,大连交通大学,"互联网 , 移动互联网 , 工具软件"
20,1345,黄海,FreesFund峰瑞资本 早期项目负责人,http://weibo.com/HuanghaiIDG,黄海，FreeS VC早期项目负责人，曾担任IDG早期项目负责人，斯坦福校友。,"北京,东城区",IDG,斯坦福大学,"互联网 , 移动互联网 , 教育 , 金融 , 文化娱乐体育 , 电子商务 , 工具软件 , 旅游 , SNS社交网络"
21,1346,谢振宏,众诚资本 创始人,,"谢振宏，众诚资本合伙人。浙江大学电气自动化和心理学学位，以及企业管理研究生毕业.此前一直在全球500强外企从事供应链工作.有丰富的企业管理经验。2014年初关注互联网金融.参与了多个天使投资项目.创立了众诚资本,专注于创新企业从天使阶段到B轮所需要的资金需求和企业发展，协助发展到后期的企业上新三板以及IPO。","浙江,杭州",,浙江大学,"互联网 , 移动互联网 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 游戏 , 电子商务 , 汽车交通 , 房产服务 , 旅游 , 企业服务"
22,1347,王天坤,众诚资本 创始合伙人,,王天坤，众诚资本创始人合伙人及LP成员，创立并担任上海思脉、苏州思展及苏州艾斯威公司CEO，拥有丰富的企业团队管理经验，对现代传统行业有着前瞻远瞩的洞察力。目前在进修清华大学总裁企业管理专业，自2014年关注互联网金融行业，致力于互联网商业模式的运作，并参与了多个互联网项目的投资，现作为众诚资本投委会成员。,"上海,黄浦区",,,"互联网 , 移动互联网 , 本地生活 , 教育 , 文化娱乐体育 , 电子商务 , 房产服务 , 旅游"
23,1348,王新,云启创投 高级投资经理,,王新，云启创投高级投资经理，此前在京东金融战略部工作，负责了多个领域的战略制定、战略投资和战略合作；在京东金融之前，王新在百度工作多年，负责了多个领域的行业、产品和运营策略制定。王新毕业于同济大学和华南理工大学。,"北京,朝阳区","百度 , 京东商城","同济大学 , 华南理工大学","金融 , 企业服务"
24,1349,林中华,FreesFund峰瑞资本 创始合伙人,,"林中华，Freesvc孚睿基金创始合伙人。拥有宾夕法尼亚大学沃顿商学院经济学学士学位。最早曾在高盛任职，曾为 IDG 资本合伙人，加入 IDG 资本前，林中华曾参与了超过 100 家初创企业的投资，包括 Trulia, Stubhub, Invite Media, Flatiron Health, JoorAccess等，侧重于平台性企业、互联网金融、电子商务、移动、企业软件等领域的投资，并且注重于跨境业务和北美投资。同时，林中华在美国包括 Evernote，Trulia，Coursehero，Dreamit，Angelpad 等多家知名企业与孵化器担任顾问或者董事。","北京,朝阳区","高盛 , IDG",宾夕法尼亚大学,"互联网 , 移动互联网 , 金融 , 电子商务 , 工具软件 , 企业服务"
25,1350,郭敏芳,早鸟基金 合伙人,,郭敏芳，早鸟基金合伙人。 2004.3－2014.10担任中国国际金融有限公司，董事总经理，任职中金公司期间作为主力带领团队参与了中石油、工商银行、中国人寿、中国建筑、农业银行、大秦铁路、中信银行、太平洋保险、中国神华、中国南车中海集运等里程碑式IPO，并参与了招商银行、大秦铁路、华能国际等数十个大型再融资项目，创造并刷新了国内证券交易所市场化大宗交易撮合诸多记录。同时郭敏芳也拥有超过十年的实业管理经验，熟悉房地产、品牌消费、制造业等行业。清华大学五道口金融EMBA、香港大学MBA、南京大学强化部（原少年部）数量经济专业。,"北京,朝阳区",中金公司CICC,"清华大学 , 南京大学 , 香港大学","互联网 , 医疗健康 , 环保能源 , 制造业 , 教育 , 金融 , 文化娱乐体育"
26,1351,陈家琳,早鸟基金 合伙人,,"陈家琳，早鸟基金合伙人。上海世诚投资管理有限公司董事总经理，2013福布斯中国最佳私募基金经理。 陈先生在金融行业拥有20年的本土经验及国际视野。在创办世诚投资之前，陈先生曾先后供职于海富通基金管理公司、里昂证券公司和嘉里证券公司等多家相关领域的顶级金融机构。在海富通基金管理公司的四年半时间里，陈先生先后任股票分析师、股票研究负责人及股票投资负责人等职，并是公司投资决策委员会的成员，在投资领域内的产品设计、投资研究、市场销售、产品运营等诸方面积累了丰富的经验。  陈先生曾担任全球最大的主动管理型QFII基金—富通""扬子""基金的基金经理。该基金在自2004年底成立至2007年9月底的33个月内，取得了超过550%的绝对回报，为该期间内业绩表现最好的A股基金之一。在创立世诚投资之后，陈家琳先生管理的""扬子二号""、""扬子三号""、""云信世诚""等阳光私募产品也大幅跑赢同期沪深300指数，为客户带来了优异且稳定的绝对回报。","上海,黄浦区",里昂证券,,"互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 金融 , 文化娱乐体育"
27,1352,赵建光,建元天华投资 创始人,,赵建光，建元天华投资创始人、CEO。陕西财经学院经济学硕士，美国沃顿商学院访问学者，是中国证券市场资深的投资银行家、资产管理专家，从事金融证券行业16年。,"北京,西城区",,,"医疗健康 , 环保能源 , 制造业 , 金融 , 文化娱乐体育"
28,1353,孟梦,青骢资本 董事总经理,,孟梦，青骢资本董事总经理，17岁只身飞往南非求学，同年出版散文随笔集《梦想与升华—十七岁我走进非洲》；2012年曾在专注于清洁技术投资的股权投资机构担任总裁助理以及投资者关系高级经理。,"上海,黄浦区",,,"互联网 , 移动互联网 , 本地生活 , 电子商务"
29,1354,王文龙,君联资本 执行董事,http://weibo.com/tonyonecn,"王文龙，君联资本执行董事。王先生于2009年加入君联资本，专注于TMT、创新消费及金融服务领域的投资，主导投资的项目包括：

互联网金融领域：安硕信息(300380.SZ)、好买财富管理、网贷天眼P2P第三方、股票赢家投资社区、懒财网新型资管产品、统联金融资产交易平台等；
创新消费领域：楼口便利（社区O2O）、水果管家（社区O2O）、度周末（休闲度假O2O）、七格格网络女装；
TMT领域：乐蜗SnailVR、ZAKER移动阅读、茄子快传无线传输、微云移动游戏、VIDA图片社区等。

加入君联资本前，王文龙先生曾就职于美国光速创业投资公司Lightspeed Venture Partners和埃森哲咨询Accenture Consulting。

王先生拥有上海交通大学应用数学学士学位和运筹学硕士学位。","上海,静安区",埃森哲,上海交通大学,"互联网 , 移动互联网 , 本地生活 , 金融 , 游戏 , 电子商务 , 工具软件 , 旅游 , 企业服务"
30,1355,韩越,春晓资本 创始合伙人,,韩越，春晓资本创始合伙人。7年资本市场经验，此前就职于齐鲁证券有限公司负责公司新三板业务，在此期间帮助中国十数家企业在中国新三板市场挂牌并融资，拥有丰富的资本市场经验。韩越先生拥有荷兰格罗宁根大学国际经济学学士学位及金融硕士学位。,"北京,朝阳区",,,"互联网 , 本地生活 , 金融 , 电子商务 , 汽车交通 , 企业服务"
31,1356,曲飞宇,春晓资本 创始合伙人,,曲飞宇，春晓资本创始合伙人。,"北京,东城区",,,"电子商务 , 企业服务"
32,1357,郝潇蒙,春晓资本 高级投资经理,,郝潇蒙，春晓资本高级投资经理。6年电商创业经验，拥有丰富的企业管理经验，除参与基金投资外，同时任职酷表族CEO ，该公司长期居同品类电商企业的前列，14年GMV高达2亿人民币。毕业于大连理工大学自动化专业。,"北京,东城区",,大连理工大学,"文化娱乐体育 , 企业服务"
33,1358,张清,春晓资本 投资经理,,张清，春晓资本投资经理。3年战略管理咨询经验，2年电子商务运营经验，曾任职全球第一家管理咨询公司Arthur D. Little，服务的企业包括华为、南方电网、香港政府、奔驰汽车等，在瑞金麟担任电子商务运营总监等职位，运营的品牌包含美赞臣奶粉、碧生源、联想手机、獐子岛等。拥有天津大学软件工程、南开大学工商管理硕士学位。,"北京,东城区",,"南开大学 , 天津大学","房产服务 , 企业服务"
34,1323,诸晨俊,琢石投资 高级项目经理,http://weibo.com/u/3655502520,"诸晨俊，琢石投资高级项目经理。
• 华理学士。从事金融公关与市值管理超过三年。专注于上市公司投资者关系及媒体关系管理。
• 从事金融公关与市值管理超过三年。专注于上市公司投资者关系及媒体关系管理。

• 曾负责或重点参与数十家上市公司的常年市值管理、首发融资推介、再融资、重大资产重组等项目的执行，其中包括中海油服、中国太保、洋河股份、陕汽集团、中国建筑、新宝股份、绿盟科技、川仪股份等。","上海,浦东新区",,华东理工大学,"互联网 , 金融"
35,1324,金晨,"银泰资本Ventech 合伙人 , 招商和腾创投 合伙人(已离职)",,金晨，银泰资本合伙人。曾担任招商合腾创投合伙人、新加坡南洋理工大学客座教授。,"上海,黄浦区",,宾夕法尼亚大学,"互联网 , 移动互联网 , 本地生活 , 教育 , 金融"
36,1325,陈昌敏,银泰资本Ventech 投资经理,,陈昌敏，银泰资本投资经理。,"上海,黄浦区",,,"互联网 , 移动互联网 , 本地生活 , SNS社交网络"
37,1326,李雪刚,招商和腾创投 主管合伙人,,"李雪刚，招商和腾主管合伙人。李雪刚先生拥有17年风险投资经历以及丰富的经营经验，是目前国内最有经验和最成功的基金经理之一。他是2001年成立的招商富鑫资产管理公司（基金I 的管理公司）创始人之一，并任董事兼总裁。

在此之前，李雪刚先生担任香港招商局科技集团的董事兼副总经理，该公司是招商局集团的全资子公司，专注于技术相关的投资及集团资产管理。李雪刚先生负责分管该公司在香港及大陆企业的投资与管理，管理资产价值超过10亿港币。

李雪刚先生还曾担任香港招商局集团的企业管理部副总经理，负责集团在香港和大陆的累计5.3亿港币直接投资，内部收益率达到17%。

李雪刚先生获得美国亚利桑那州立大学MBA硕士学位，毕业于中国四川大学。","上海,黄浦区",招商局,"四川大学 , 亚利桑那州立大学","互联网 , 移动互联网 , 医疗健康 , 本地生活 , 教育 , 金融"
38,1327,何佳良,招商和腾创投 主管合伙人,,"何佳良，招商和腾创投主管合伙人。何佳良先生拥有十余年风险投资经理，投资业绩卓越，是国内最有经验的基金经理之一。何佳良先生是和腾投资创始人之一，担任主管合伙人。

在此之前，何佳良先生是TDF华盈创投的合伙人，该基金是中国领先的风险投资基金之一。之前，何佳良也是TDF新加坡公司的投资董事。

何佳良先生具有优秀的技术背景及新创企业管理经验，他早年曾担任TRITECH MICROELECTRONICS公司的ASIC部门主管，管理ASIC团队。

何佳良先生获得新加坡南洋理工MBA学位，并毕业于美国伊利诺斯州大学URBANA-CHAMPAIGN分校电子学学士学位。","上海,黄浦区",,"南洋理工大学 , 美国伊利诺斯大学","互联网 , 移动互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 金融 , 文化娱乐体育 , 硬件 , 汽车交通 , 房产服务"
39,1328,白文涛,分享投资 管理合伙人兼执行合伙人,http://weibo.com/wtbai,白文涛，分享投资管理合伙人兼执行合伙人。1990年北京大学本科毕业，2004年中欧国际工商学院EMBA；有着近20年的IT企业创业及管理经验，连续创立多家企业并被并购；2007年转型成为专业创业投资人，创立深圳分享投资；中欧国际工商学院教育发展基金会创始会员；AAMA（亚杰商会）创业导师；北京大学企业家俱乐部发起理事；北京大学工学院理事。,"广东,深圳",,"北京大学 , 中欧国际工商学院","互联网 , 移动互联网 , 医疗健康 , 教育 , 文化娱乐体育 , 硬件 , 电子商务"
40,1329,蒋海炳,杭州多牛资本 创始人,http://weibo.com/p/1005051756767311,蒋海炳，杭州多牛资本创始人。花名老顽童。支付宝工号2号员工，2008年离职创业，曾创办马伯乐、福地创业园、五百米网络等。,"浙江,杭州","阿里巴巴 , 支付宝",中南财经政法大学,"互联网 , 移动互联网 , 本地生活 , 金融 , 文化娱乐体育 , 硬件 , 电子商务 , 旅游 , SNS社交网络"
41,1330,田广峰,财晟资本 董事长,http://weibo.com/pongotian,田广峰，财晟资本董事长、创始合伙人。同济大学经济学硕士、同济大学DBA博士、同济大学客座教授、格勒诺布尔商学院博士（在读）。2000年至2003年任甘肃省定西市经贸局、招商局副局长；2003年5月被国家授予“全国杰出创业青年”称号；2004年至2007年作为天使投资人，投资了金芋马铃薯种业、海之海房地产、点正电脑媒体、逸峰堂生物科技等20余例项目；2007年至今任（香港）威甲投资有限公司董事长；2008年至今任上海威甲投资管理有限公司董事长；2009年至今任上海财晟股权投资管理有限公司首席合伙人。,"上海,浦东新区",,同济大学,"互联网 , 医疗健康 , 制造业 , 本地生活 , 教育 , 金融 , 农业"
42,1331,叶健聪,财晟资本 创始合伙人,,叶健聪，财晟资本创始合伙人。毕业于澳大利亚CURTIN 大学，会计学士和工商管理硕士，马来西亚籍华人，现任上海财晟股权投资管理有限公司总裁，拥有超过20年的金融投资与企业管理经验；曾任职于HK Andover Group副总裁，主管中国大陆投资；ATD LTD（新加坡上市公司）执行董事；新加坡Ernst & Young（安永）审计师；从1999年起被印尼DIRGAHAYU Group派往中国担任多家大型企业的董事总经理，管理的资产超过USD3亿元；拥有国际注册会计师（CA）和国际董事会秘书（ACIS）证书。,"上海,浦东新区",安永,,"制造业 , 本地生活 , 教育 , 金融"
43,1332,陈德棉,财晟资本 创始合伙人,,陈德棉，财晟资本创始合伙人。本科毕业于浙江大学.中国科学技术大学研究生毕业。1988年研究生毕业于中国科学技术大学；1996年评聘为研究员；1999年评聘为博士生导师；2000年创办同济大学投资研究所并任所长至今；主要专业方向为创业投资与创业管理；现兼任上海三峰投资管理有限公司董事长；曾兼任深圳创新投资集团有限公司投资决策委员会执行委员、国际业务部部长、深圳中新创业投资管理公司总裁；已参与投资决策并实际投资创业项目90多项，其中已上市企业30多家；已领导投资创业项目11项，已上市企业5家。,"上海,浦东新区",深圳创新投,"浙江大学 , 中国科学技术大学","互联网 , 医疗健康 , 环保能源 , 制造业 , 金融"
44,1333,夏荣法,财晟资本 合伙人,,夏荣法，财晟资本合伙人，中共江苏省委党校经济管理本科毕业。2003年5月任中科招商投资（基金）管理公司副总裁；2010年10月任中科招商投资（基金）管理公司山东总部总经理；2011年10月任中科新潮股权投资管理有限公司总经理；2013年9月任昆吾九鼎投资管理有限公司副总裁；2014年5月任昆吾九鼎江苏省财富管理中心总经理。,"上海,浦东新区","昆吾九鼎投资 , 中科招商",,"互联网 , 医疗健康 , 制造业 , 本地生活 , 教育 , 金融 , 农业"
45,1334,屈向军,长安私人资本 创始合伙人,,屈向军，长安私人资本创始合伙人。是国内最早从事私募股权投资的资深业者之一，拥有17年的专业股权投资经验，曾主持逾20个直接投资项目，涉及金融服务、制药、教育、农业等多个领域。屈先生亲身经历和参与了中国私募股权投资市场的完整发展历程，在企业股权投资方面积累了丰富的实践经验。屈先生多年成功的企业经营、管理经验和对成长型企业投融资问题一贯的研究和实践，使其对中国成长型企业的投资形成了系统的理论和独特的视角。屈先生毕业于华中理工大学、获得长江商学院EMBA学位。,"北京,西城区",,"华中科技大学 , 长江商学院","互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 教育 , 金融 , 文化娱乐体育"
46,1335,谢犁,长安私人资本 创始合伙人,,谢犁，长安私人资本创始合伙人。谢女士在PE投资领域拥有15年的经验。她曾任渣打全球直接投资公司的董事，是中国地区的投资负责人之一。在加入渣打前，谢女士担任美国雷曼兄弟（亚洲）直接投资部副总裁，负责在大中国区的投资和项目联络。在雷曼期间谢女士投资的多个优质公司，在经历金融危机期间全部保持高速增长。谢女士还先后服务于国内证券公司、证券投资基金公司以及澳洲国民银行的中国投资部门，在中国投行、证券投资和股权投资等金融不同领域获得了广泛的实战经验。谢女士拥有中央财经大学学士和中欧国际工商学院的MBA学位。,"北京,西城区",渣打银行,"中欧国际工商学院 , 中央财经大学","互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 农业"
47,1336,吴涛,长安私人资本 高级副总裁,,吴涛，长安私人资本高级副总裁。吴先生加入长安私人资本已经十年，在此期间，曾主持十多个直接投资项目，涉及制药、装备、消费、教育、农业等领域，其中大部分项目已经成功进入公开资本市场，对于中国成长型企业的现状以及各方面需求有着深刻的了解。 在加入长安私人资本之前，吴先生在一家大型国企工作，在企业经营、管理方面积累了丰富的经验。 吴先生在西安交通大学取得材料科学与工程学士学位、工商管理硕士学位。,"北京,西城区",,西安交通大学,"互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 教育 , 金融 , 农业"
48,1337,刘思颖,长安私人资本 副总裁,,刘思颖，长安私人资本副总裁。刘女士在金融领域拥有超过十年的经验，并主持过多个直接投资项目，涉及医疗、消费、金融、TMT等多个领域，对于企业成长判断及各方面需求有着独特理解。加入长安资本之前，刘女士曾在国内知名商业银行担任项目价值判断及风险分析工作，并在不同时期参与过多家企业的融资并购事宜。刘女士以优异的成绩毕业于中央财经大学及北京大学光华管理学院，拥有中央财经大学学士及光华管理学院国际工商管理硕士学位。,"北京,西城区",,"北京大学 , 中央财经大学","互联网 , 医疗健康 , 本地生活 , 教育 , 金融"
49,1338,吴晓波,狮享家新媒体基金 创始合伙人,http://weibo.com/wuxiaobo2009,吴晓波，狮享家新媒体基金联合创始人，财经作家，《激荡三十年》作者。1968年生人，毕业于复旦大学新闻系。财经作家，“蓝狮子”财经图书出版人，曾任上海交通大学、暨南大学EMBA课程教授，常年从事公司研究。,"浙江,杭州",新华社,复旦大学,"互联网 , 移动互联网 , 文化娱乐体育"
50,1305,林劲峰,盈信投资集团 董事长,http://weibo.com/ljf600519,林劲峰，盈信投资集团创始人、董事长。曾在中化（香港）石油有限公司、君安证券工作，2003年创办深圳市盈信投资，安徽双轮酒业有限公司董事长。贵州茅台第十大股东，同时兼任兼任朗诗置业股份有限公司、陕西西凤酒股份有限公司、深圳市红彤汽车股份有限公司、深圳市巨万阳光食品股份有限公司等公司董事。,"广东,深圳",国泰君安,"中欧国际工商学院 , 深圳大学","互联网 , 医疗健康 , 环保能源 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件"
51,1306,唐葵,方源资本 总裁及董事总经理,,"唐葵，方源资本总裁、董事总经理。曾担任淡马锡控股负责全球投资事务的高级董事总经理, 暨负责淡马锡在中国的投资业务。之前, 唐先生在美国高盛公司服务了11年, 担任董事总经理。唐先生持有美国哥伦比亚大学工商管理硕士学位（MBA）。","香港,中西区","高盛 , 淡马锡","哥伦比亚大学 , 东华大学","互联网 , 移动互联网 , 医疗健康 , 环保能源 , 制造业 , 教育 , 金融"
